model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesEntr,1.0,1.0,0.06627488136291504,0.04768705368041992,0.7832257747650146,0.06627488136291504,0.04768705368041992,0.7832257747650146,1,True,6
ExtraTreesGini,1.0,1.0,0.08842658996582031,0.0764915943145752,0.7864704132080078,0.08842658996582031,0.0764915943145752,0.7864704132080078,1,True,5
KNeighborsDist,0.9074074074074074,1.0,0.09131193161010742,0.031652212142944336,0.04759979248046875,0.09131193161010742,0.031652212142944336,0.04759979248046875,1,True,2
KNeighborsUnif,0.9074074074074074,1.0,0.08821225166320801,0.07056117057800293,0.04121279716491699,0.08821225166320801,0.07056117057800293,0.04121279716491699,1,True,1
RandomForestEntr,1.0,1.0,0.13624930381774902,0.049510955810546875,0.8774921894073486,0.13624930381774902,0.049510955810546875,0.8774921894073486,1,True,4
RandomForestGini,1.0,1.0,0.06726741790771484,0.05052065849304199,0.9053478240966797,0.06726741790771484,0.05052065849304199,0.9053478240966797,1,True,3
WeightedEnsemble_L2,1.0,1.0,0.09395790100097656,0.07685351371765137,0.9312677383422852,0.00553131103515625,0.0003619194030761719,0.14479732513427734,2,True,7
