model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesEntr,0.5,0.5555555555555556,0.09293031692504883,0.05421781539916992,0.5851755142211914,0.09293031692504883,0.05421781539916992,0.5851755142211914,1,True,4
ExtraTreesGini,0.5,0.5555555555555556,0.0973665714263916,0.051473140716552734,0.5737819671630859,0.0973665714263916,0.051473140716552734,0.5737819671630859,1,True,3
KNeighborsDist,0.5555555555555556,0.4444444444444444,0.014497041702270508,0.011297225952148438,0.025343656539916992,0.014497041702270508,0.011297225952148438,0.025343656539916992,1,True,6
KNeighborsUnif,0.5555555555555556,0.4444444444444444,0.013210058212280273,0.011902093887329102,0.025892257690429688,0.013210058212280273,0.011902093887329102,0.025892257690429688,1,True,5
RandomForestEntr,0.5,0.5555555555555556,0.0636892318725586,0.05866360664367676,0.669867753982544,0.0636892318725586,0.05866360664367676,0.669867753982544,1,True,2
RandomForestGini,0.5,0.5555555555555556,0.06166982650756836,0.05347561836242676,0.74776291847229,0.06166982650756836,0.05347561836242676,0.74776291847229,1,True,1
WeightedEnsemble_L2,0.5,0.5555555555555556,0.06648921966552734,0.05382704734802246,0.8947100639343262,0.004819393157958984,0.0003514289855957031,0.14694714546203613,2,True,7
