model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesEntr,0.2037037037037037,0.23076923076923078,0.07018470764160156,0.059119224548339844,0.7251346111297607,0.07018470764160156,0.059119224548339844,0.7251346111297607,1,True,6
ExtraTreesGini,0.2037037037037037,0.23076923076923078,0.07301497459411621,0.05228400230407715,0.6893472671508789,0.07301497459411621,0.05228400230407715,0.6893472671508789,1,True,5
KNeighborsDist,0.18518518518518517,0.15384615384615385,0.023723363876342773,0.011856555938720703,0.013603687286376953,0.023723363876342773,0.011856555938720703,0.013603687286376953,1,True,2
KNeighborsUnif,0.16666666666666666,0.15384615384615385,0.01799631118774414,0.013728857040405273,0.01428532600402832,0.01799631118774414,0.013728857040405273,0.01428532600402832,1,True,1
RandomForestEntr,0.2037037037037037,0.23076923076923078,0.07273435592651367,0.05120539665222168,0.8152587413787842,0.07273435592651367,0.05120539665222168,0.8152587413787842,1,True,4
RandomForestGini,0.2037037037037037,0.23076923076923078,0.0667867660522461,0.05005621910095215,0.9130520820617676,0.0667867660522461,0.05005621910095215,0.9130520820617676,1,True,3
WeightedEnsemble_L2,0.2222222222222222,0.2692307692307692,0.16630792617797852,0.12138080596923828,1.7919023036956787,0.005613088607788086,0.00034880638122558594,0.14011192321777344,2,True,7
