model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesEntr,0.9444444444444444,1.0,0.06779289245605469,0.059070587158203125,0.9971582889556885,0.06779289245605469,0.059070587158203125,0.9971582889556885,1,True,6
ExtraTreesGini,0.9259259259259259,1.0,0.06448698043823242,0.04955601692199707,0.8602592945098877,0.06448698043823242,0.04955601692199707,0.8602592945098877,1,True,5
KNeighborsDist,0.8888888888888888,0.9230769230769231,0.023529767990112305,0.016344547271728516,0.11144185066223145,0.023529767990112305,0.016344547271728516,0.11144185066223145,1,True,2
KNeighborsUnif,0.8333333333333334,0.9230769230769231,0.031052827835083008,0.029651641845703125,0.06279182434082031,0.031052827835083008,0.029651641845703125,0.06279182434082031,1,True,1
RandomForestEntr,0.9259259259259259,1.0,0.10222291946411133,0.050493717193603516,0.9934775829315186,0.10222291946411133,0.050493717193603516,0.9934775829315186,1,True,4
RandomForestGini,0.9444444444444444,1.0,0.0726323127746582,0.05515336990356445,1.177159309387207,0.0726323127746582,0.05515336990356445,1.177159309387207,1,True,3
WeightedEnsemble_L2,0.9444444444444444,1.0,0.07893872261047363,0.055547237396240234,1.3178114891052246,0.00630640983581543,0.00039386749267578125,0.14065217971801758,2,True,7
