model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesEntr,1.0,1.0,0.07162666320800781,0.05992460250854492,0.8290679454803467,0.07162666320800781,0.05992460250854492,0.8290679454803467,1,True,4
ExtraTreesGini,1.0,1.0,0.06680512428283691,0.054821014404296875,0.7641830444335938,0.06680512428283691,0.054821014404296875,0.7641830444335938,1,True,3
KNeighborsDist,1.0,1.0,0.013197898864746094,0.010926246643066406,0.07045316696166992,0.013197898864746094,0.010926246643066406,0.07045316696166992,1,True,6
KNeighborsUnif,1.0,1.0,0.013164997100830078,0.011574268341064453,0.06907224655151367,0.013164997100830078,0.011574268341064453,0.06907224655151367,1,True,5
RandomForestEntr,1.0,1.0,0.07010459899902344,0.05338859558105469,0.8844726085662842,0.07010459899902344,0.05338859558105469,0.8844726085662842,1,True,2
RandomForestGini,1.0,1.0,0.06991100311279297,0.059529781341552734,0.9739603996276855,0.06991100311279297,0.059529781341552734,0.9739603996276855,1,True,1
WeightedEnsemble_L2,1.0,1.0,0.017999887466430664,0.01201629638671875,0.21002459526062012,0.004834890365600586,0.0004420280456542969,0.14095234870910645,2,True,7
