model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesEntr,0.8148148148148148,0.8076923076923077,0.07197690010070801,0.04763936996459961,1.7619316577911377,0.07197690010070801,0.04763936996459961,1.7619316577911377,1,True,6
ExtraTreesGini,0.7962962962962963,0.8076923076923077,0.0633399486541748,0.04654359817504883,1.8375864028930664,0.0633399486541748,0.04654359817504883,1.8375864028930664,1,True,5
KNeighborsDist,0.6481481481481481,0.7307692307692307,0.028672218322753906,0.05539727210998535,0.5290722846984863,0.028672218322753906,0.05539727210998535,0.5290722846984863,1,True,2
KNeighborsUnif,0.5740740740740741,0.7307692307692307,0.020879745483398438,0.04872441291809082,0.46311187744140625,0.020879745483398438,0.04872441291809082,0.46311187744140625,1,True,1
RandomForestEntr,0.7962962962962963,0.8076923076923077,0.0751333236694336,0.053803443908691406,1.884134292602539,0.0751333236694336,0.053803443908691406,1.884134292602539,1,True,4
RandomForestGini,0.7962962962962963,0.8076923076923077,0.0662224292755127,0.050366878509521484,1.942192792892456,0.0662224292755127,0.050366878509521484,1.942192792892456,1,True,3
WeightedEnsemble_L2,0.7962962962962963,0.8461538461538461,0.14758729934692383,0.10454368591308594,3.966341018676758,0.006231546401977539,0.0003733634948730469,0.1400139331817627,2,True,7
