model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesEntr,1.0,1.0,0.06779336929321289,0.08316540718078613,0.6536014080047607,0.06779336929321289,0.08316540718078613,0.6536014080047607,1,True,4
ExtraTreesGini,1.0,1.0,0.06623482704162598,0.057004451751708984,0.6503007411956787,0.06623482704162598,0.057004451751708984,0.6503007411956787,1,True,3
KNeighborsDist,1.0,1.0,0.012523651123046875,0.009966850280761719,0.038695573806762695,0.012523651123046875,0.009966850280761719,0.038695573806762695,1,True,6
KNeighborsUnif,1.0,1.0,0.013071060180664062,0.012496471405029297,0.038756608963012695,0.013071060180664062,0.012496471405029297,0.038756608963012695,1,True,5
RandomForestEntr,1.0,1.0,0.06360626220703125,0.054498910903930664,0.785599946975708,0.06360626220703125,0.054498910903930664,0.785599946975708,1,True,2
RandomForestGini,1.0,1.0,0.06696581840515137,0.053392648696899414,0.8763153553009033,0.06696581840515137,0.053392648696899414,0.8763153553009033,1,True,1
WeightedEnsemble_L2,1.0,1.0,0.017978906631469727,0.012866735458374023,0.17785334587097168,0.004907846450805664,0.00037026405334472656,0.13909673690795898,2,True,7
