model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesEntr,0.7962962962962963,0.8461538461538461,0.07433390617370605,0.05076169967651367,1.494410753250122,0.07433390617370605,0.05076169967651367,1.494410753250122,1,True,6
ExtraTreesGini,0.7962962962962963,0.8461538461538461,0.06248021125793457,0.04825019836425781,1.491441249847412,0.06248021125793457,0.04825019836425781,1.491441249847412,1,True,5
KNeighborsDist,0.7407407407407407,0.6538461538461539,0.02720189094543457,0.0475006103515625,0.381605863571167,0.02720189094543457,0.0475006103515625,0.381605863571167,1,True,2
KNeighborsUnif,0.7222222222222222,0.6923076923076923,0.04369831085205078,0.03852057456970215,0.31705665588378906,0.04369831085205078,0.03852057456970215,0.31705665588378906,1,True,1
RandomForestEntr,0.7962962962962963,0.8461538461538461,0.061673641204833984,0.04903578758239746,1.606658697128296,0.061673641204833984,0.04903578758239746,1.606658697128296,1,True,4
RandomForestGini,0.8148148148148148,0.8461538461538461,0.09414052963256836,0.05059361457824707,1.7188591957092285,0.09414052963256836,0.05059361457824707,1.7188591957092285,1,True,3
WeightedEnsemble_L2,0.8148148148148148,0.8461538461538461,0.10020208358764648,0.05097556114196777,1.859405517578125,0.006061553955078125,0.0003819465637207031,0.14054632186889648,2,True,7
