model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesEntr,0.8888888888888888,1.0,0.06868171691894531,0.054293155670166016,1.1570136547088623,0.06868171691894531,0.054293155670166016,1.1570136547088623,1,True,4
ExtraTreesGini,0.8888888888888888,1.0,0.06608223915100098,0.06452155113220215,1.0659785270690918,0.06608223915100098,0.06452155113220215,1.0659785270690918,1,True,3
KNeighborsDist,1.0,1.0,0.014194250106811523,0.012405157089233398,0.20309710502624512,0.014194250106811523,0.012405157089233398,0.20309710502624512,1,True,6
KNeighborsUnif,0.9444444444444444,1.0,0.014110088348388672,0.014805793762207031,0.2015974521636963,0.014110088348388672,0.014805793762207031,0.2015974521636963,1,True,5
RandomForestEntr,1.0,1.0,0.0636591911315918,0.05178260803222656,1.2662580013275146,0.0636591911315918,0.05178260803222656,1.2662580013275146,1,True,2
RandomForestGini,1.0,1.0,0.06610465049743652,0.06058645248413086,1.2470612525939941,0.06610465049743652,0.06058645248413086,1.2470612525939941,1,True,1
WeightedEnsemble_L2,0.9444444444444444,1.0,0.01912689208984375,0.015163421630859375,0.3408975601196289,0.005016803741455078,0.00035762786865234375,0.13930010795593262,2,True,7
